pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
48,501981,Khris Davis,2514,1.9,1,3,null,4,2.031,1.671,0.861,48,48,105.9,27.3,2269,89.6,89.01,0,48,0,-0.6,5.93,107,152,119,146,306,327,300
43,502110,J.D. Martinez,2519,1.7,1,3,null,4,2.031,1.537,0.792,43,43,105,28.2,2118,88.8,88.46,0,43,0,-0.3,6.05,106,151,118,145,294,324,304
40,608336,Joey Gallo,2348,1.7,1,3,null,4,2.031,1.588,0.806,40,40,107.7,29.4,2164,88.6,88.14,0,40,0,-0.5,5.96,117,169,135,157,301,329,304
39,608070,Jose Ramirez,3002,1.3,1,3,null,4,2.031,1.152,0.62,39,39,101.3,28.8,2192,91.6,91.37,0,39,0,-0.2,6.09,112,149,118,147,291,317,296
39,545361,Mike Trout,2543,1.5,1,3,null,4,2.031,1.543,0.809,39,39,106.5,28,2203,87.8,87.11,0,39,0,-0.7,5.9,109,152,117,145,308,325,299
38,571448,Nolan Arenado,2592,1.5,1,3,null,4,2.031,1.242,0.654,38,38,102.2,29.2,2351,89,89,0,38,0,0,6.05,109,151,116,149,315,335,307
38,596019,Francisco Lindor,2920,1.3,1,3,null,4,2.031,1.362,0.757,38,38,104.4,25.8,2143,89.2,89.03,0,38,0,-0.2,6.08,116,149,113,149,291,315,297
38,519317,Giancarlo Stanton,2942,1.3,1,3,null,4,2.031,1.486,0.809,38,38,108.5,25.3,2241,87,86.38,0,38,0,-0.6,5.9,109,156,123,149,305,330,296
37,592518,Manny Machado,2529,1.5,1,3,null,4,2.031,1.467,0.802,37,37,105.2,24.8,2322,87.8,87.31,0,37,0,-0.5,5.88,110,152,118,147,301,322,298
37,443558,Nelson Cruz,2282,1.6,1,3,null,4,2.031,1.661,0.883,37,37,108,25.5,2165,87.4,86.45,0,37,0,-1,5.73,108,153,120,146,300,321,296
37,596115,Trevor Story,2555,1.4,1,3,null,4,2.031,1.56,0.802,37,37,105.3,28.1,2250,87,86.74,0,37,0,-0.3,5.86,107,152,116,147,312,335,306
36,592885,Christian Yelich,2532,1.4,1,3,null,4,2.031,1.622,0.855,36,36,106.5,26.4,2242,87.5,86.91,0,36,0,-0.6,5.86,114,148,109,150,296,319,298
36,572761,Matt Carpenter,2853,1.3,1,3,null,4,2.031,1.221,0.628,36,36,102,30.8,2232,89.3,89.15,0,36,0,-0.2,6.11,121,163,115,152,300,322,303
35,542583,Jesus Aguilar,2432,1.4,1,3,null,4,2.031,1.455,0.749,35,35,104,29.7,2189,89.7,89.05,0,35,0,-0.6,5.89,108,151,115,146,307,325,298
35,571970,Max Muncy,2066,1.7,1,3,null,4,2.031,1.358,0.691,35,35,103.5,30.7,2122,89.6,89.32,0,35,0,-0.3,6.07,120,156,125,154,296,319,309
34,595879,Javier Baez,2245,1.5,1,3,null,4,2.031,1.593,0.829,34,34,105.6,28,2263,87.8,87.44,0,34,0,-0.4,5.98,107,151,107,147,306,325,301
34,656555,Rhys Hoskins,2920,1.2,1,3,null,4,2.031,1.279,0.677,34,34,104,29.5,2208,91.4,91.34,0,34,0,-0.1,6.23,108,153,117,146,298,322,294
34,553993,Eugenio Suarez,2429,1.4,1,3,null,4,2.031,1.486,0.769,34,34,104.4,28.6,2162,87.9,87.58,0,34,0,-0.3,5.95,104,148,115,143,303,320,292
34,547180,Bryce Harper,2877,1.2,1,3,null,4,2.031,1.652,0.83,34,34,106.8,29.1,2240,90.7,90.1,0,34,0,-0.6,5.98,117,154,124,150,303,325,307
33,502671,Paul Goldschmidt,2905,1.1,1,3,null,4,2.031,1.424,0.719,33,33,104.5,31.1,2235,88.6,88.08,0,33,0,-0.5,5.92,108,152,116,146,308,325,304
32,543768,Travis Shaw,2391,1.3,1,3,null,4,2.031,1.425,0.76,32,32,104.9,27.5,2167,90,89.83,0,32,0,-0.2,6.06,113,156,116,152,301,323,302
32,429665,Edwin Encarnacion,2293,1.4,1,3,null,4,2.031,1.478,0.766,32,32,103.7,28,2270,90.4,90.35,0,32,0,-0.1,6.18,110,152,119,145,296,324,298
32,605141,Mookie Betts,2582,1.2,1,3,null,4,2.031,1.434,0.749,32,32,103.4,28,2230,88.5,88.09,0,32,0,-0.4,6.08,111,153,114,146,293,325,298
31,608324,Alex Bregman,2821,1.1,1,3,null,4,2.031,1.042,0.576,31,31,100.6,28.1,2164,89.3,88.89,0,31,0,-0.4,6.15,107,150,116,145,296,321,291
30,457708,Justin Upton,2527,1.2,1,3,null,4,2.031,1.489,0.786,30,30,104.7,27.8,2333,86,85.41,0,30,0,-0.6,5.92,104,152,118,145,309,325,303
30,543068,C.J. Cron,2172,1.4,1,3,null,4,2.031,1.565,0.806,30,30,106.4,27.8,2195,87.7,87.02,0,30,0,-0.7,5.88,108,153,120,147,299,324,296
30,444482,David Peralta,2272,1.3,1,3,null,4,2.031,1.315,0.707,30,30,103.6,27.3,2298,87.7,87.06,0,30,0,-0.6,5.84,114,148,108,151,296,323,309
29,453568,Charlie Blackmon,2724,1.1,1,3,null,4,2.031,1.303,0.689,29,29,103,28.8,2230,88.4,88.31,0,29,0,-0.1,6.02,115,151,114,153,297,330,307
29,621566,Matt Olson,2844,1,1,3,null,4,2.031,1.613,0.82,29,29,106.2,28.5,2206,87.7,87.1,0,29,0,-0.6,5.91,118,167,131,154,294,324,306
